Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,9.640000,9.870000,9.560000,9.600000,9.600000,3845400
2020-02-18,9.750000,10.290000,9.740000,10.130000,10.130000,7138100
2020-02-19,10.180000,10.210000,9.260000,9.320000,9.320000,14475400
2020-02-20,9.390000,10.120000,9.330000,9.720000,9.720000,8905100
2020-02-21,9.960000,10.030000,9.810000,9.960000,9.960000,6532900
2020-02-24,10.270000,10.280000,9.690000,9.810000,9.810000,7428100
2020-02-25,9.600000,9.850000,9.340000,9.340000,9.340000,5235500
2020-02-26,9.290000,9.530000,9.080000,9.240000,9.240000,4600400
2020-02-27,9.350000,9.430000,8.250000,8.300000,8.300000,8677000
2020-02-28,7.190000,7.820000,6.860000,7.540000,7.540000,13324400
2020-03-02,7.900000,8.100000,7.640000,7.910000,7.910000,4999000
2020-03-03,8.130000,8.490000,7.780000,8.080000,8.080000,9637500
2020-03-04,8.080000,8.190000,7.780000,8.080000,8.080000,3835200
2020-03-05,8.150000,8.300000,7.900000,8.160000,8.160000,5156900
2020-03-06,8.170000,8.180000,7.580000,7.920000,7.920000,5549700
2020-03-09,7.340000,7.680000,6.900000,7.110000,7.110000,3745600
2020-03-10,7.390000,7.540000,6.960000,7.380000,7.380000,3926500
2020-03-11,7.300000,7.340000,6.420000,6.570000,6.570000,6245500
2020-03-12,5.560000,6.690000,5.400000,5.640000,5.640000,7826500
2020-03-13,5.940000,5.950000,4.950000,5.000000,5.000000,8888200
2020-03-16,4.280000,5.840000,4.170000,5.490000,5.490000,9076400
2020-03-17,5.350000,6.710000,5.300000,6.290000,6.290000,8819900
2020-03-18,5.840000,6.600000,5.350000,5.400000,5.400000,6896400
2020-03-19,5.500000,6.460000,4.800000,5.620000,5.620000,6005100
2020-03-20,6.130000,6.210000,5.500000,5.510000,5.510000,6340700
2020-03-23,5.930000,6.380000,5.440000,6.000000,6.000000,6855100
2020-03-24,7.150000,7.380000,6.600000,7.230000,7.230000,9844000
2020-03-25,7.050000,7.900000,6.850000,7.410000,7.410000,8457700
2020-03-26,7.420000,7.900000,7.050000,7.240000,7.240000,6015500
2020-03-27,7.000000,7.170000,6.540000,6.820000,6.820000,5203800
2020-03-30,6.720000,6.980000,6.100000,6.390000,6.390000,5117200
2020-03-31,6.450000,6.600000,6.180000,6.190000,6.190000,3517600
2020-04-01,6.060000,6.350000,5.870000,6.110000,6.110000,5420300
2020-04-02,6.350000,6.660000,6.210000,6.300000,6.300000,4608000
