Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,4.510000,4.530000,4.230000,4.310000,4.310000,7046300
2020-02-18,4.290000,4.350000,4.210000,4.220000,4.220000,4230000
2020-02-19,4.220000,4.280000,4.170000,4.230000,4.230000,3135800
2020-02-20,4.220000,4.460000,4.210000,4.260000,4.260000,5917600
2020-02-21,4.260000,4.279000,4.130000,4.140000,4.140000,3835900
2020-02-24,3.980000,4.025000,3.820000,3.920000,3.920000,6360200
2020-02-25,3.980000,4.000000,3.780000,3.830000,3.830000,5396600
2020-02-26,3.780000,3.950000,3.780000,3.820000,3.820000,5102700
2020-02-27,3.730000,3.765000,3.440000,3.500000,3.500000,9157200
2020-02-28,3.390000,3.660000,3.310000,3.660000,3.660000,6968000
2020-03-02,3.690000,3.720000,3.410000,3.500000,3.500000,6945900
2020-03-03,3.420000,3.550000,3.250000,3.320000,3.320000,4623700
2020-03-04,3.430000,3.640000,3.320000,3.590000,3.590000,5462000
2020-03-05,3.500000,3.520000,3.350000,3.350000,3.350000,3979100
2020-03-06,3.250000,3.350000,3.100000,3.150000,3.150000,4653400
2020-03-09,2.830000,3.080000,2.730000,2.840000,2.840000,4811400
2020-03-10,3.020000,3.030000,2.810000,2.940000,2.940000,3146900
2020-03-11,2.890000,2.990000,2.690000,2.700000,2.700000,4903900
2020-03-12,2.360000,2.490000,2.170000,2.190000,2.190000,5973400
2020-03-13,2.350000,2.370000,2.060000,2.250000,2.250000,5321200
2020-03-16,1.970000,2.300000,1.950000,2.150000,2.150000,4125200
2020-03-17,2.200000,2.310000,2.020000,2.160000,2.160000,3669800
2020-03-18,2.110000,2.230000,1.950000,2.130000,2.130000,4451000
2020-03-19,2.180000,2.550000,2.070000,2.360000,2.360000,7865100
2020-03-20,2.550000,2.770000,2.480000,2.510000,2.510000,6219400
2020-03-23,2.740000,2.740000,2.470000,2.540000,2.540000,4513100
2020-03-24,2.750000,2.760000,2.600000,2.700000,2.700000,4430400
2020-03-25,2.750000,3.060000,2.650000,2.930000,2.930000,6604800
2020-03-26,2.950000,3.605000,2.940000,3.320000,3.320000,9640500
2020-03-27,3.410000,3.520000,3.230000,3.290000,3.290000,6357100
2020-03-30,3.210000,3.280000,3.010000,3.080000,3.080000,4064500
2020-03-31,3.020000,3.249000,2.960000,3.060000,3.060000,4529400
2020-04-01,2.950000,3.036000,2.800000,2.860000,2.860000,3154600
2020-04-02,2.870000,3.035000,2.800000,2.890000,2.890000,3796800
2020-04-03,2.920000,2.970000,2.790000,2.820000,2.820000,2788500
2020-04-06,2.960000,3.160000,2.890000,3.000000,3.000000,4011700
2020-04-07,3.220000,3.247000,2.970000,3.040000,3.040000,4543500
2020-04-08,3.060000,3.230000,2.990000,3.190000,3.190000,5248600
2020-04-09,3.250000,3.290000,3.105000,3.200000,3.200000,3629700
2020-04-13,3.220000,3.480000,3.150000,3.470000,3.470000,6370100
2020-04-14,3.610000,3.750000,3.500000,3.640000,3.640000,7884400
2020-04-15,4.240000,4.300000,3.640000,3.770000,3.770000,22135800
2020-04-16,3.820000,3.870000,3.390000,3.570000,3.570000,10641900
2020-04-17,3.700000,3.790000,3.580000,3.600000,3.600000,6960800
2020-04-20,3.540000,3.570000,3.350000,3.440000,3.440000,13964600
2020-04-21,3.330000,3.410000,3.230000,3.290000,3.290000,5181500
2020-04-22,3.330000,3.380000,3.230000,3.280000,3.280000,5507200
2020-04-23,3.290000,3.400000,3.260000,3.400000,3.400000,5868400
2020-04-24,3.400000,3.550000,3.310000,3.540000,3.540000,4595300
2020-04-27,3.640000,3.880000,3.595000,3.740000,3.740000,10722100
2020-04-28,3.850000,3.870000,3.570000,3.630000,3.630000,6781000
2020-04-29,3.690000,3.750000,3.620000,3.670000,3.670000,4112600
2020-04-30,3.650000,3.690000,3.530000,3.590000,3.590000,3856500
2020-05-01,3.520000,3.520000,3.320000,3.390000,3.390000,4206800
2020-05-04,3.400000,3.580000,3.330000,3.560000,3.560000,4188600
2020-05-05,3.600000,3.735000,3.575000,3.600000,3.600000,6225400
2020-05-06,3.700000,3.720000,3.625000,3.640000,3.640000,3472600
2020-05-07,3.650000,3.780000,3.640000,3.690000,3.690000,3039800
