Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,1.261000,1.270000,1.200000,1.210000,1.210000,48800
2020-02-18,1.160000,1.247000,1.160000,1.200000,1.200000,54600
2020-02-19,1.202000,1.230000,1.170000,1.185000,1.185000,43800
2020-02-20,1.188000,1.199000,1.020000,1.021000,1.021000,351500
2020-02-21,1.051000,1.170000,1.020000,1.130000,1.130000,329200
2020-02-24,1.090000,1.110000,1.010000,1.050000,1.050000,136100
2020-02-25,1.050000,1.150000,1.040000,1.057000,1.057000,170000
2020-02-26,1.030000,1.050000,1.010000,1.028000,1.028000,55400
2020-02-27,0.970000,0.980000,0.810000,0.940000,0.940000,146900
2020-02-28,0.850000,0.920000,0.812000,0.880000,0.880000,65100
2020-03-02,0.850000,0.980000,0.830000,0.975000,0.975000,74100
2020-03-03,0.980000,1.070000,0.914000,0.955000,0.955000,68400
2020-03-04,1.340000,2.600000,0.910000,0.920000,0.920000,15672100
2020-03-05,1.000000,1.140000,0.900000,0.910000,0.910000,1541200
2020-03-06,0.831000,0.960000,0.760000,0.830000,0.830000,1220100
2020-03-09,0.780000,0.780000,0.650000,0.709000,0.709000,471600
2020-03-10,0.760000,0.760000,0.650000,0.734000,0.734000,309800
2020-03-11,0.740000,0.760000,0.670000,0.710000,0.710000,475700
2020-03-12,0.713000,0.750000,0.658000,0.724000,0.724000,258600
2020-03-13,0.705000,0.979000,0.646000,0.666000,0.666000,2149500
2020-03-16,0.700000,0.750000,0.502000,0.603000,0.603000,522100
2020-03-17,0.740000,0.850000,0.510000,0.600000,0.600000,2498400
2020-03-18,0.590000,0.610000,0.520000,0.568000,0.568000,449600
2020-03-19,0.538000,0.645000,0.530000,0.542000,0.542000,524600
2020-03-20,0.610000,0.670000,0.550000,0.556000,0.556000,825000
2020-03-23,0.570000,0.600000,0.482000,0.580000,0.580000,392000
2020-03-24,0.570000,0.605000,0.560000,0.596000,0.596000,351000
2020-03-25,0.590000,0.721000,0.578000,0.640000,0.640000,1414100
2020-03-26,0.740000,0.900000,0.620000,0.688000,0.688000,2930900
2020-03-27,0.690000,0.950000,0.630000,0.777000,0.777000,6307700
2020-03-30,0.970000,1.080000,0.630000,0.662000,0.662000,5473800
2020-03-31,0.600000,0.783000,0.550000,0.684000,0.684000,1978500
2020-04-01,0.600000,0.709000,0.570000,0.606000,0.606000,568000
2020-04-02,0.600000,0.660000,0.550000,0.600000,0.600000,674600
2020-04-03,0.583000,0.619000,0.533000,0.565000,0.565000,631500
2020-04-06,0.558000,0.669000,0.552000,0.620000,0.620000,2078700
2020-04-07,0.640000,0.653000,0.590000,0.596000,0.596000,691300
2020-04-08,0.590000,0.620000,0.580000,0.605000,0.605000,360400
2020-04-09,0.620000,0.648000,0.590000,0.610000,0.610000,741000
2020-04-13,0.620000,0.630000,0.581000,0.610000,0.610000,291300
2020-04-14,0.608000,0.625000,0.595000,0.620000,0.620000,369200
2020-04-15,0.617000,0.620000,0.595000,0.610000,0.610000,303400
2020-04-16,0.610000,0.610000,0.580000,0.610000,0.610000,433800
2020-04-17,0.670000,0.700000,0.595000,0.629000,0.629000,2214700
2020-04-20,0.620000,0.720000,0.600000,0.700000,0.700000,2800200
2020-04-21,0.720000,0.739000,0.620000,0.659000,0.659000,2285800
2020-04-22,0.620000,0.656000,0.611000,0.630000,0.630000,608100
2020-04-23,0.620000,0.690000,0.600000,0.650000,0.650000,1752800
2020-04-24,0.679000,0.685000,0.631000,0.660000,0.660000,964800
2020-04-27,0.650000,0.679000,0.620000,0.663000,0.663000,704900
2020-04-28,0.670000,0.750000,0.645000,0.710000,0.710000,4396800
2020-04-29,0.740000,0.810000,0.702000,0.710000,0.710000,3352100
2020-04-30,0.690000,0.730000,0.650000,0.682000,0.682000,976600
2020-05-01,0.659000,0.682000,0.650000,0.680000,0.680000,536300
2020-05-04,0.650000,0.740000,0.635000,0.693000,0.693000,1254800
2020-05-05,0.700000,0.700000,0.650000,0.658000,0.658000,429200
2020-05-06,0.660000,0.685000,0.640000,0.660000,0.660000,496100
