Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,4.340000,4.430000,4.300000,4.370000,4.370000,731800
2020-02-18,4.340000,4.420000,4.190000,4.320000,4.320000,771500
2020-02-19,4.320000,4.400000,4.210000,4.360000,4.360000,719200
2020-02-20,4.340000,4.610000,4.340000,4.580000,4.580000,831400
2020-02-21,4.570000,4.570000,4.330000,4.460000,4.460000,912200
2020-02-24,4.160000,4.260000,4.050000,4.090000,4.090000,1511400
2020-02-25,4.100000,4.140000,3.850000,3.900000,3.900000,1190400
2020-02-26,3.950000,4.020000,3.720000,3.780000,3.780000,1114200
2020-02-27,3.590000,4.030000,3.520000,3.800000,3.800000,1805600
2020-02-28,3.700000,3.800000,3.610000,3.700000,3.700000,1879800
2020-03-02,3.720000,3.740000,3.400000,3.490000,3.490000,1290900
2020-03-03,3.500000,3.630000,3.070000,3.120000,3.120000,2692200
2020-03-04,3.180000,3.310000,3.100000,3.160000,3.160000,1207700
2020-03-05,3.010000,3.070000,2.770000,2.970000,2.970000,2270600
2020-03-06,2.770000,3.040000,2.770000,3.000000,3.000000,2094700
2020-03-09,2.710000,2.800000,2.600000,2.610000,2.610000,1131700
2020-03-10,2.760000,2.780000,2.350000,2.480000,2.480000,1597400
2020-03-11,2.410000,2.730000,2.250000,2.300000,2.300000,4848300
2020-03-12,2.170000,2.370000,2.060000,2.190000,2.190000,2014400
2020-03-13,2.510000,2.520000,2.030000,2.160000,2.160000,2999600
2020-03-16,1.520000,1.800000,1.490000,1.600000,1.600000,2068100
2020-03-17,1.650000,1.750000,1.430000,1.680000,1.680000,1860400
2020-03-18,1.560000,1.890000,1.450000,1.570000,1.570000,1431100
2020-03-19,1.500000,1.940000,1.450000,1.830000,1.830000,1552300
2020-03-20,1.830000,2.020000,1.620000,1.720000,1.720000,2940800
2020-03-23,1.770000,1.770000,1.520000,1.690000,1.690000,850000
2020-03-24,1.800000,1.900000,1.620000,1.670000,1.670000,1408800
2020-03-25,1.720000,2.010000,1.670000,1.770000,1.770000,1540300
2020-03-26,1.810000,2.060000,1.690000,2.010000,2.010000,1353600
2020-03-27,1.930000,1.980000,1.810000,1.920000,1.920000,451500
2020-03-30,1.920000,1.940000,1.580000,1.640000,1.640000,1298200
2020-03-31,1.590000,1.840000,1.460000,1.490000,1.490000,2124300
2020-04-01,1.470000,1.470000,1.270000,1.360000,1.360000,1606800
2020-04-02,1.360000,1.440000,1.300000,1.390000,1.390000,1283800
2020-04-03,1.460000,1.460000,1.280000,1.320000,1.320000,1639400
2020-04-06,1.380000,1.490000,1.330000,1.460000,1.460000,1842400
2020-04-07,1.530000,1.820000,1.530000,1.660000,1.660000,1636000
2020-04-08,1.680000,2.180000,1.670000,2.120000,2.120000,1769700
2020-04-09,2.300000,2.590000,2.230000,2.580000,2.580000,2942300
2020-04-13,2.470000,2.550000,1.970000,2.040000,2.040000,2175000
2020-04-14,2.110000,2.490000,2.100000,2.400000,2.400000,1739600
2020-04-15,2.200000,2.230000,1.950000,2.000000,2.000000,1516900
2020-04-16,2.020000,2.070000,1.960000,1.980000,1.980000,579600
2020-04-17,2.090000,2.180000,1.960000,2.010000,2.010000,1026100
2020-04-20,1.980000,2.060000,1.860000,1.920000,1.920000,1280500
2020-04-21,1.900000,1.940000,1.800000,1.830000,1.830000,930700
2020-04-22,1.870000,1.900000,1.660000,1.690000,1.690000,1271600
2020-04-23,1.690000,1.830000,1.560000,1.630000,1.630000,1754600
2020-04-24,1.660000,1.730000,1.550000,1.650000,1.650000,1177000
2020-04-27,1.660000,1.860000,1.590000,1.780000,1.780000,1283900
2020-04-28,1.850000,2.100000,1.760000,2.070000,2.070000,2030300
2020-04-29,2.200000,2.220000,2.000000,2.040000,2.040000,1723000
2020-04-30,2.000000,2.500000,1.850000,2.070000,2.070000,5258700
2020-05-01,1.960000,1.960000,1.830000,1.920000,1.920000,1550400
2020-05-04,1.870000,1.950000,1.770000,1.810000,1.810000,534300
2020-05-05,1.900000,1.930000,1.710000,1.720000,1.720000,1240700
