Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,0.940000,0.940000,0.910000,0.920000,0.920000,733600
2020-02-18,0.930000,0.930000,0.890000,0.890000,0.890000,669700
2020-02-19,0.930000,0.930000,0.900000,0.910000,0.910000,1010600
2020-02-20,0.920000,0.980000,0.920000,0.950000,0.950000,1215400
2020-02-21,0.940000,0.950000,0.900000,0.940000,0.940000,596600
2020-02-24,0.900000,0.910000,0.870000,0.890000,0.890000,1345000
2020-02-25,0.900000,0.900000,0.850000,0.880000,0.880000,1369300
2020-02-26,0.880000,0.890000,0.800000,0.820000,0.820000,1666000
2020-02-27,0.740000,0.770000,0.650000,0.710000,0.710000,1937800
2020-02-28,0.700000,0.770000,0.690000,0.770000,0.770000,1877800
2020-03-02,0.770000,0.780000,0.700000,0.710000,0.710000,1065600
2020-03-03,0.710000,0.720000,0.680000,0.680000,0.680000,1387800
2020-03-04,0.710000,0.710000,0.640000,0.650000,0.650000,2617900
2020-03-05,0.690000,0.690000,0.610000,0.620000,0.620000,2817500
2020-03-06,0.600000,0.640000,0.560000,0.600000,0.600000,2529700
2020-03-09,0.460000,0.500000,0.330000,0.340000,0.340000,7648600
2020-03-10,0.400000,0.400000,0.300000,0.340000,0.340000,5317700
2020-03-11,0.320000,0.340000,0.300000,0.300000,0.300000,2225400
2020-03-12,0.290000,0.290000,0.230000,0.230000,0.230000,2752600
2020-03-13,0.270000,0.290000,0.240000,0.250000,0.250000,2791200
2020-03-16,0.260000,0.260000,0.230000,0.230000,0.230000,4190700
2020-03-17,0.250000,0.250000,0.210000,0.210000,0.210000,2640100
2020-03-18,0.210000,0.210000,0.180000,0.190000,0.190000,10136900
2020-03-19,0.200000,0.210000,0.190000,0.210000,0.210000,4045500
2020-03-20,0.210000,0.230000,0.180000,0.180000,0.180000,6819100
2020-03-23,0.200000,0.210000,0.190000,0.190000,0.190000,1947200
2020-03-24,0.200000,0.220000,0.200000,0.220000,0.220000,3607000
