Date,Open,High,Low,Close,Adj Close,Volume
2020-12-01,10.600000,10.740000,10.460000,10.600000,10.600000,437500
2020-12-02,10.650000,10.705000,10.400000,10.550000,10.550000,318100
2020-12-03,10.550000,10.560000,10.400000,10.420000,10.420000,448300
2020-12-04,10.650000,10.650000,10.370000,10.410000,10.410000,536500
2020-12-07,10.690000,10.800000,10.440000,10.620000,10.620000,824200
2020-12-08,10.800000,11.000000,10.700000,10.870000,10.870000,1541000
2020-12-09,11.040000,11.250000,10.750000,10.990000,10.990000,1475900
2020-12-10,11.000000,11.130000,10.750000,10.910000,10.910000,643200
2020-12-11,11.050000,11.270000,10.800000,11.060000,11.060000,1334200
2020-12-14,11.200000,11.360000,10.900000,11.110000,11.110000,1408800
2020-12-15,11.150000,11.200000,10.810000,11.080000,11.080000,1132400
2020-12-16,11.060000,11.060000,10.810000,10.990000,10.990000,1137100
2020-12-17,11.070000,11.100000,10.948000,11.030000,11.030000,397300
2020-12-18,11.110000,11.415000,10.994000,11.220000,11.220000,773800
2020-12-21,11.580000,11.590000,11.130000,11.400000,11.400000,2660600
2020-12-22,11.950000,12.139000,11.400000,11.620000,11.620000,2062500
2020-12-23,11.980000,12.200000,11.740000,12.050000,12.050000,2239400
2020-12-24,12.420000,12.450000,12.050000,12.400000,12.400000,1038700
2020-12-28,12.890000,13.040000,12.450000,12.660000,12.660000,2589600
2020-12-29,12.770000,12.780000,12.070000,12.300000,12.300000,1752500
2020-12-30,12.000000,12.520000,11.900000,12.460000,12.460000,1220700
2020-12-31,12.450000,12.500000,12.160000,12.440000,12.440000,827100
2021-01-04,12.590000,12.590000,11.800000,12.200000,12.200000,1371400
2021-01-05,12.150000,12.280000,12.090000,12.150000,12.150000,1304000
2021-01-06,12.150000,12.200000,11.890000,12.120000,12.120000,1105700
2021-01-07,12.200000,22.000000,12.050000,19.139999,19.139999,64877000
2021-01-08,21.459999,22.000000,17.889999,18.740000,18.740000,35524100
2021-01-11,19.370001,19.750000,18.650000,18.990000,18.990000,11702200
2021-01-12,18.980000,19.190001,18.250000,18.450001,18.450001,7138600
2021-01-13,18.900000,19.590000,18.530001,19.110001,19.110001,8226400
2021-01-14,19.400000,19.450001,18.920000,19.160000,19.160000,7705100
2021-01-15,19.320000,21.049999,19.110001,20.160000,20.160000,12966100
2021-01-19,21.900000,24.219999,21.059999,22.590000,22.590000,22266200
2021-01-20,23.860001,24.620001,22.110001,22.370001,22.370001,10236100
2021-01-21,23.000000,23.049999,21.500000,22.389999,22.389999,6971500
2021-01-22,22.090000,22.990000,21.190001,21.650000,21.650000,6704800
2021-01-25,22.160000,22.850000,20.000000,20.480000,20.480000,9701800
2021-01-26,20.400000,21.320000,19.500000,19.570000,19.570000,9172400
2021-01-27,19.000000,19.250000,17.900000,18.180000,18.180000,16297600
2021-01-28,20.420000,20.920000,19.100000,20.280001,20.280001,12032100
2021-01-29,23.190001,26.969999,21.799999,25.139999,25.139999,36434600
2021-02-01,25.850000,28.260000,25.139999,25.780001,25.780001,18319100
2021-02-02,26.010000,26.180000,23.850000,24.330000,24.330000,8973900
2021-02-03,24.799999,25.750000,24.510000,24.950001,24.950001,4251500
2021-02-04,24.070000,25.120001,23.420000,25.059999,25.059999,8415200
2021-02-05,24.290001,24.520000,22.900000,23.100000,23.100000,12132900
2021-02-08,23.400000,24.389999,22.799999,23.000000,23.000000,7294000
2021-02-09,22.930000,24.000000,22.750000,23.120001,23.120001,6375300
2021-02-10,23.700001,23.790001,22.250000,22.990000,22.990000,6308100
2021-02-11,23.000000,23.950001,22.320000,23.070000,23.070000,8512200
2021-02-12,22.840000,24.480000,22.809999,23.900000,23.900000,5763600
