Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,1.440000,1.450000,1.440000,1.450000,1.450000,1000
2020-02-18,1.450000,1.450000,1.440000,1.440000,1.440000,15300
2020-02-19,1.440000,1.440000,1.360000,1.360000,1.360000,36100
2020-02-20,1.380000,1.390000,1.360000,1.390000,1.390000,19600
2020-02-21,1.390000,1.400000,1.380000,1.400000,1.400000,3600
2020-02-24,1.400000,1.400000,1.280000,1.390000,1.390000,51500
2020-02-25,1.340000,1.340000,1.290000,1.340000,1.340000,2000
2020-02-26,1.220000,1.270000,1.220000,1.230000,1.230000,27900
2020-02-27,1.220000,1.250000,1.220000,1.250000,1.250000,2300
2020-02-28,1.250000,1.270000,1.180000,1.190000,1.190000,19400
2020-03-02,1.250000,1.260000,1.230000,1.260000,1.260000,9000
2020-03-03,1.250000,1.250000,1.220000,1.240000,1.240000,2600
2020-03-04,1.200000,1.210000,1.180000,1.200000,1.200000,14600
2020-03-05,1.170000,1.200000,1.160000,1.200000,1.200000,1600
2020-03-06,1.200000,1.200000,1.150000,1.150000,1.150000,5300
2020-03-09,1.150000,1.150000,1.030000,1.040000,1.040000,21700
2020-03-10,1.030000,1.060000,1.020000,1.060000,1.060000,45200
2020-03-11,1.010000,1.110000,1.010000,1.020000,1.020000,6800
2020-03-12,1.020000,1.020000,0.850000,1.000000,1.000000,7900
2020-03-13,0.880000,1.050000,0.850000,0.940000,0.940000,14500
2020-03-16,0.940000,1.000000,0.900000,0.990000,0.990000,25700
2020-03-17,0.970000,1.000000,0.900000,1.000000,1.000000,12300
2020-03-18,0.980000,0.980000,0.900000,0.900000,0.900000,9500
2020-03-19,0.960000,0.970000,0.830000,0.900000,0.900000,7500
2020-03-20,0.830000,0.920000,0.830000,0.830000,0.830000,1500
2020-03-23,0.920000,0.920000,0.870000,0.870000,0.870000,1200
2020-03-24,0.900000,0.920000,0.880000,0.920000,0.920000,9700
2020-03-25,0.920000,0.920000,0.800000,0.830000,0.830000,64400
2020-03-26,0.900000,0.900000,0.870000,0.870000,0.870000,5500
2020-03-27,0.860000,0.890000,0.800000,0.890000,0.890000,2700
2020-03-30,0.800000,0.880000,0.800000,0.880000,0.880000,2800
2020-03-31,0.880000,0.880000,0.880000,0.880000,0.880000,600
2020-04-01,0.880000,0.880000,0.840000,0.840000,0.840000,5400
2020-04-02,0.860000,0.860000,0.850000,0.860000,0.860000,800
2020-04-03,0.860000,0.870000,0.820000,0.820000,0.820000,1100
2020-04-06,0.830000,0.840000,0.830000,0.840000,0.840000,900
2020-04-07,0.820000,0.850000,0.800000,0.850000,0.850000,8800
2020-04-08,0.850000,0.850000,0.830000,0.830000,0.830000,3100
2020-04-09,0.820000,0.850000,0.820000,0.830000,0.830000,13600
2020-04-13,0.840000,0.970000,0.840000,0.950000,0.950000,24000
2020-04-14,0.940000,0.950000,0.920000,0.940000,0.940000,9300
2020-04-15,0.920000,2.550000,0.920000,1.220000,1.220000,2189500
2020-04-16,1.200000,1.370000,1.080000,1.210000,1.210000,191900
2020-04-17,1.170000,1.200000,1.090000,1.120000,1.120000,51800
2020-04-20,1.110000,1.110000,1.070000,1.080000,1.080000,28400
