Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,7.920000,9.040000,7.680000,8.080000,8.080000,397325
2020-02-18,7.760000,7.840000,6.480000,6.640000,6.640000,219713
2020-02-19,6.560000,6.720000,5.840000,6.160000,6.160000,179250
2020-02-20,6.160000,6.880000,5.840000,6.800000,6.800000,207275
2020-02-21,4.800000,5.360000,4.720000,5.280000,5.280000,980488
2020-02-24,6.320000,6.480000,5.600000,6.000000,6.000000,727138
2020-02-25,5.760000,6.080000,5.280000,5.760000,5.760000,344850
2020-02-26,5.760000,9.200000,4.960000,7.200000,7.200000,1849925
2020-02-27,6.240000,6.800000,5.360000,6.160000,6.160000,1768613
2020-02-28,7.120000,7.600000,5.680000,6.080000,6.080000,1148513
2020-03-02,6.640000,7.040000,6.160000,6.560000,6.560000,684375
2020-03-03,6.240000,6.800000,5.760000,6.080000,6.080000,865725
2020-03-04,6.000000,6.320000,5.600000,5.840000,5.840000,489288
2020-03-05,6.080000,6.160000,5.680000,5.680000,5.680000,726475
2020-03-06,5.840000,5.920000,5.200000,5.600000,5.600000,454088
2020-03-09,5.360000,5.520000,4.000000,4.400000,4.400000,520838
2020-03-10,3.760000,4.320000,3.600000,3.840000,3.840000,494300
2020-03-11,3.600000,5.040000,3.600000,4.160000,4.160000,785775
2020-03-12,3.920000,4.080000,3.360000,3.680000,3.680000,253950
2020-03-13,3.440000,3.840000,2.800000,3.040000,3.040000,213038
2020-03-16,2.720000,2.960000,2.560000,2.560000,2.560000,124188
2020-03-17,3.520000,3.520000,2.720000,3.120000,3.120000,136550
2020-03-18,3.200000,3.360000,2.880000,3.040000,3.040000,151363
2020-03-19,3.040000,3.840000,2.880000,3.200000,3.200000,370413
2020-03-20,3.520000,3.520000,3.040000,3.040000,3.040000,115175
2020-03-23,3.120000,3.600000,3.120000,3.280000,3.280000,141550
2020-03-24,3.360000,3.360000,2.880000,2.880000,2.880000,102438
2020-03-25,2.880000,3.440000,2.800000,3.280000,3.280000,273513
2020-03-26,3.280000,3.520000,3.040000,3.360000,3.360000,182288
2020-03-27,3.360000,4.000000,3.200000,3.360000,3.360000,385775
2020-03-30,3.520000,5.200000,3.280000,5.040000,5.040000,1143988
2020-03-31,4.400000,4.720000,3.680000,3.760000,3.760000,305738
2020-04-01,3.840000,4.320000,3.280000,4.000000,4.000000,610825
2020-04-02,4.160000,4.400000,3.680000,4.000000,4.000000,277275
2020-04-03,3.920000,4.000000,3.360000,3.600000,3.600000,158338
2020-04-06,3.760000,3.760000,3.360000,3.680000,3.680000,95725
2020-04-07,3.520000,3.520000,3.280000,3.360000,3.360000,122500
2020-04-08,3.440000,3.440000,2.800000,3.280000,3.280000,67913
2020-04-09,3.360000,3.600000,3.120000,3.120000,3.120000,117350
2020-04-13,3.200000,3.360000,3.040000,3.200000,3.200000,59188
2020-04-14,3.200000,3.840000,3.040000,3.760000,3.760000,467813
2020-04-15,3.600000,3.920000,3.280000,3.680000,3.680000,189525
2020-04-16,3.840000,3.840000,3.360000,3.440000,3.440000,73025
2020-04-17,3.520000,3.600000,3.280000,3.360000,3.360000,48975
2020-04-20,3.520000,3.600000,3.280000,3.360000,3.360000,61225
2020-04-21,3.360000,3.440000,3.120000,3.360000,3.360000,48613
2020-04-22,3.280000,3.360000,3.120000,3.280000,3.280000,52938
2020-04-23,3.200000,3.360000,3.120000,3.280000,3.280000,37813
2020-04-24,3.360000,3.360000,3.120000,3.280000,3.280000,40025
2020-04-27,3.280000,3.840000,3.120000,3.680000,3.680000,263200
2020-04-28,3.600000,3.680000,3.280000,3.360000,3.360000,110775
2020-04-29,3.360000,3.440000,3.200000,3.280000,3.280000,72525
2020-04-30,3.360000,3.360000,3.120000,3.200000,3.200000,87350
2020-05-01,3.280000,3.760000,3.280000,3.280000,3.280000,287200
2020-05-04,3.360000,3.520000,3.200000,3.360000,3.360000,150438
2020-05-05,3.440000,3.760000,3.280000,3.680000,3.680000,261225
2020-05-06,3.920000,4.400000,3.520000,4.080000,4.080000,696363
2020-05-07,4.080000,4.320000,3.680000,3.840000,3.840000,273863
2020-05-08,3.760000,3.840000,3.440000,3.680000,3.680000,133975
2020-05-11,3.600000,3.760000,3.600000,3.680000,3.680000,64025
2020-05-12,3.680000,3.680000,3.520000,3.600000,3.600000,74400
2020-05-13,3.600000,3.600000,3.120000,3.360000,3.360000,89500
2020-05-14,3.360000,3.920000,3.200000,3.440000,3.440000,177525
2020-05-15,3.280000,3.440000,3.200000,3.280000,3.280000,46313
2020-05-18,3.360000,3.520000,3.280000,3.440000,3.440000,81400
2020-05-19,3.520000,3.760000,3.440000,3.520000,3.520000,201688
2020-05-20,3.520000,3.760000,3.280000,3.440000,3.440000,180638
