Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,9.700000,9.800000,9.600000,9.600000,9.600000,2740
2020-02-18,9.600000,9.600000,9.400000,9.600000,9.600000,3670
2020-02-19,9.500000,9.800000,9.400000,9.400000,9.400000,3990
2020-02-20,9.600000,10.000000,9.400000,9.400000,9.400000,4110
2020-02-21,10.700000,11.000000,9.600000,10.000000,10.000000,71320
2020-02-24,9.900000,9.900000,9.400000,9.400000,9.400000,8180
2020-02-25,9.400000,9.500000,9.300000,9.300000,9.300000,9360
2020-02-26,9.400000,9.800000,9.200000,9.200000,9.200000,8500
2020-02-27,9.200000,9.300000,9.000000,9.000000,9.000000,13500
2020-02-28,8.900000,9.000000,6.600000,7.200000,7.200000,46720
2020-03-02,8.000000,8.000000,7.000000,7.200000,7.200000,9990
2020-03-03,7.200000,7.600000,7.200000,7.200000,7.200000,2400
2020-03-04,7.000000,7.400000,7.000000,7.100000,7.100000,3170
2020-03-05,7.300000,7.300000,6.800000,7.000000,7.000000,10370
2020-03-06,7.000000,7.000000,6.200000,6.800000,6.800000,7460
2020-03-09,5.800000,6.700000,5.800000,6.000000,6.000000,12040
2020-03-10,6.000000,6.200000,5.300000,6.200000,6.200000,20400
2020-03-11,5.900000,7.100000,5.900000,6.400000,6.400000,4400
2020-03-12,6.200000,6.200000,5.600000,5.800000,5.800000,12290
2020-03-13,6.000000,6.100000,4.000000,4.100000,4.100000,20300
2020-03-16,4.300000,4.600000,3.900000,4.500000,4.500000,10250
2020-03-17,4.600000,4.600000,3.700000,4.200000,4.200000,14160
2020-03-18,3.500000,4.200000,3.500000,3.700000,3.700000,7590
2020-03-19,3.800000,4.400000,3.800000,4.000000,4.000000,7400
2020-03-20,4.300000,4.400000,3.800000,4.000000,4.000000,4520
2020-03-23,4.200000,4.200000,3.700000,4.100000,4.100000,2210
2020-03-24,4.400000,4.400000,3.700000,3.900000,3.900000,11720
2020-03-25,3.900000,4.200000,3.800000,4.100000,4.100000,12680
2020-03-26,4.200000,4.900000,4.100000,4.300000,4.300000,9700
2020-03-27,4.200000,4.400000,3.900000,4.300000,4.300000,5830
2020-03-30,4.400000,4.400000,4.000000,4.000000,4.000000,2550
2020-03-31,3.900000,5.500000,3.900000,4.900000,4.900000,36580
2020-04-01,4.800000,4.800000,3.900000,4.400000,4.400000,3810
2020-04-02,4.000000,4.600000,4.000000,4.200000,4.200000,3300
2020-04-03,4.000000,4.400000,4.000000,4.200000,4.200000,1520
2020-04-06,4.400000,4.800000,4.000000,4.500000,4.500000,5850
2020-04-07,4.400000,4.900000,4.400000,4.600000,4.600000,7380
2020-04-08,4.700000,4.900000,4.500000,4.600000,4.600000,4730
2020-04-09,4.900000,4.900000,4.500000,4.500000,4.500000,2870
2020-04-13,4.500000,4.900000,4.400000,4.400000,4.400000,1350
2020-04-14,4.500000,4.900000,4.500000,4.600000,4.600000,2940
2020-04-15,4.500000,4.600000,4.400000,4.600000,4.600000,420
2020-04-16,4.600000,5.000000,4.400000,4.400000,4.400000,9060
2020-04-17,4.400000,4.800000,4.400000,4.600000,4.600000,2250
2020-04-20,4.600000,6.000000,4.600000,5.600000,5.600000,35050
2020-04-21,5.900000,5.900000,5.000000,5.300000,5.300000,10250
2020-04-22,5.500000,5.600000,4.900000,5.200000,5.200000,8050
2020-04-23,5.700000,5.700000,5.200000,5.300000,5.300000,6320
2020-04-24,5.100000,5.500000,5.000000,5.200000,5.200000,3290
2020-04-27,5.500000,5.500000,4.900000,5.300000,5.300000,4310
2020-04-28,5.500000,5.500000,5.100000,5.400000,5.400000,2720
2020-04-29,5.200000,5.500000,5.200000,5.500000,5.500000,2190
2020-04-30,5.200000,5.500000,5.200000,5.400000,5.400000,2970
2020-05-01,5.400000,5.400000,5.100000,5.200000,5.200000,2590
