Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,8.380000,8.500000,8.160000,8.180000,8.180000,15200
2020-02-18,8.430000,8.430000,8.030000,8.040000,8.040000,10700
2020-02-19,8.200000,8.590000,8.140000,8.400000,8.400000,13800
2020-02-20,8.400000,8.510000,8.220000,8.470000,8.470000,6100
2020-02-21,8.530000,8.530000,8.110000,8.190000,8.190000,7300
2020-02-24,8.120000,8.630000,7.810000,8.570000,8.570000,12100
2020-02-25,8.690000,8.690000,7.960000,8.090000,8.090000,10400
2020-02-26,8.080000,8.700000,8.000000,8.400000,8.400000,90300
2020-02-27,8.450000,8.480000,8.100000,8.110000,8.110000,12200
2020-02-28,8.070000,8.380000,8.070000,8.200000,8.200000,20900
2020-03-02,8.370000,8.860000,8.100000,8.380000,8.380000,43400
2020-03-03,8.460000,8.460000,8.160000,8.250000,8.250000,13000
2020-03-04,8.400000,8.580000,8.260000,8.580000,8.580000,11600
2020-03-05,8.490000,8.650000,8.300000,8.390000,8.390000,6800
2020-03-06,8.190000,8.490000,8.180000,8.290000,8.290000,4200
2020-03-09,8.090000,8.340000,7.520000,7.660000,7.660000,20400
2020-03-10,7.740000,7.750000,7.260000,7.560000,7.560000,19900
2020-03-11,7.370000,7.520000,6.840000,7.060000,7.060000,14800
2020-03-12,7.050000,7.050000,6.150000,6.150000,6.150000,14800
2020-03-13,6.450000,7.940000,6.450000,7.940000,7.940000,12800
2020-03-16,7.470000,8.680000,6.630000,6.650000,6.650000,13900
2020-03-17,6.710000,8.400000,6.710000,7.660000,7.660000,20600
2020-03-18,7.300000,8.500000,6.650000,6.660000,6.660000,14200
2020-03-19,6.650000,8.250000,6.650000,7.850000,7.850000,38500
2020-03-20,7.450000,9.020000,7.090000,7.790000,7.790000,59400
2020-03-23,7.640000,8.220000,6.880000,7.940000,7.940000,17600
2020-03-24,7.520000,8.500000,7.520000,8.500000,8.500000,24000
2020-03-25,8.210000,8.540000,8.200000,8.390000,8.390000,17900
2020-03-26,8.250000,8.820000,8.250000,8.710000,8.710000,24900
2020-03-27,8.170000,8.730000,7.850000,7.850000,7.850000,12700
2020-03-30,7.850000,8.200000,7.050000,8.200000,8.200000,28200
2020-03-31,8.110000,8.110000,6.810000,7.220000,7.220000,428600
2020-04-01,6.730000,6.950000,5.800000,5.950000,5.950000,26000
2020-04-02,6.000000,6.590000,5.500000,5.550000,5.550000,12100
2020-04-03,5.610000,5.710000,5.330000,5.340000,5.340000,6900
2020-04-06,5.490000,6.740000,5.490000,6.740000,6.740000,13200
2020-04-07,6.670000,6.750000,6.310000,6.510000,6.510000,15900
2020-04-08,6.560000,6.730000,6.350000,6.730000,6.730000,12900
2020-04-09,6.870000,7.200000,6.840000,7.160000,7.160000,10700
2020-04-13,7.050000,7.190000,6.720000,6.830000,6.830000,9000
2020-04-14,6.810000,7.510000,6.810000,7.390000,7.390000,11400
2020-04-15,7.120000,7.310000,6.370000,6.370000,6.370000,18800
2020-04-16,6.280000,6.390000,5.450000,5.600000,5.600000,30400
2020-04-17,5.660000,7.340000,5.660000,6.990000,6.990000,28800
2020-04-20,6.760000,6.890000,5.690000,6.310000,6.310000,7500
2020-04-21,5.890000,7.130000,5.890000,6.170000,6.170000,7200
2020-04-22,6.250000,7.020000,6.060000,6.270000,6.270000,43900
2020-04-23,6.510000,6.510000,5.660000,5.740000,5.740000,13800
2020-04-24,5.740000,5.740000,5.560000,5.560000,5.560000,11300
2020-04-27,5.700000,6.030000,5.680000,5.780000,5.780000,14600
2020-04-28,6.050000,6.050000,5.640000,5.740000,5.740000,23800
2020-04-29,6.020000,6.350000,5.950000,6.090000,6.090000,27100
2020-04-30,6.070000,6.070000,5.540000,5.700000,5.700000,38700
2020-05-01,5.490000,6.040000,5.260000,5.490000,5.490000,20600
2020-05-04,5.330000,5.740000,5.080000,5.400000,5.400000,33000
2020-05-05,5.390000,7.150000,5.390000,6.900000,6.900000,117300
2020-05-06,6.900000,7.210000,6.820000,6.850000,6.850000,43600
2020-05-07,6.920000,7.200000,6.840000,6.970000,6.970000,16600
2020-05-08,7.220000,7.220000,7.020000,7.020000,7.020000,56300
2020-05-11,7.190000,7.190000,6.620000,6.650000,6.650000,20900
2020-05-12,6.220000,6.410000,5.800000,5.810000,5.810000,42200
2020-05-13,5.860000,5.950000,5.800000,5.950000,5.950000,15400
2020-05-14,5.770000,6.200000,5.750000,6.200000,6.200000,31600
2020-05-15,6.250000,6.360000,5.950000,6.100000,6.100000,19700
2020-05-18,6.320000,7.500000,6.320000,7.500000,7.500000,31400
2020-05-19,7.770000,7.830000,6.470000,6.470000,6.470000,24700
2020-05-20,6.680000,7.160000,6.020000,6.780000,6.780000,17200
2020-05-21,6.730000,6.730000,6.390000,6.510000,6.510000,19100
2020-05-22,6.500000,7.050000,6.470000,7.050000,7.050000,18100
2020-05-26,7.450000,7.450000,7.130000,7.220000,7.220000,15600
2020-05-27,7.440000,7.440000,7.190000,7.280000,7.280000,19800
2020-05-28,7.450000,7.450000,6.610000,6.610000,6.610000,26700
2020-05-29,6.520000,6.990000,6.230000,6.840000,6.840000,22600
2020-06-01,6.950000,7.200000,6.620000,6.620000,6.620000,28100
2020-06-02,6.620000,7.040000,6.620000,6.990000,6.990000,8800
2020-06-03,7.220000,7.220000,6.840000,7.000000,7.000000,17700
2020-06-04,7.000000,7.050000,6.750000,6.960000,6.960000,17300
2020-06-05,7.320000,7.320000,6.820000,6.930000,6.930000,28100
2020-06-08,6.810000,7.160000,6.810000,7.140000,7.140000,49000
2020-06-09,7.060000,7.250000,7.030000,7.160000,7.160000,22200
2020-06-10,7.210000,7.210000,6.940000,7.050000,7.050000,25000
2020-06-11,6.880000,6.940000,5.790000,5.830000,5.830000,42500
2020-06-12,5.940000,6.000000,5.130000,5.720000,5.720000,96500
2020-06-15,5.520000,6.090000,5.410000,5.970000,5.970000,31000
2020-06-16,6.080000,6.410000,5.910000,6.370000,6.370000,19100
2020-06-17,6.270000,6.270000,5.660000,5.670000,5.670000,32100
2020-06-18,5.820000,5.820000,5.360000,5.410000,5.410000,109000
2020-06-19,5.420000,6.970000,5.420000,6.000000,6.000000,260000
2020-06-22,6.010000,6.160000,5.550000,5.810000,5.810000,49900
2020-06-23,5.860000,5.910000,5.640000,5.850000,5.850000,33600
2020-06-24,5.660000,5.660000,5.380000,5.520000,5.520000,28700
2020-06-25,5.780000,5.910000,5.480000,5.740000,5.740000,25300
2020-06-26,5.790000,5.790000,5.040000,5.080000,5.080000,212100
2020-06-29,5.210000,5.380000,5.040000,5.340000,5.340000,30300
