Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,1.250000,1.360000,1.180000,1.350000,1.350000,2954500
2020-02-18,1.340000,1.395000,1.290000,1.340000,1.340000,1795400
2020-02-19,1.340000,1.390000,1.310000,1.350000,1.350000,1010000
2020-02-20,1.350000,1.440000,1.330000,1.400000,1.400000,1245500
2020-02-21,1.400000,1.570000,1.400000,1.530000,1.530000,1582100
2020-02-24,1.520000,1.620000,1.440000,1.570000,1.570000,1477000
2020-02-25,1.600000,1.610000,1.410000,1.490000,1.490000,975900
2020-02-26,1.480000,1.510000,1.320000,1.460000,1.460000,948200
2020-02-27,1.440000,1.500000,1.410000,1.430000,1.430000,816300
2020-02-28,1.400000,1.560000,1.310000,1.420000,1.420000,1524200
2020-03-02,1.440000,1.540000,1.400000,1.480000,1.480000,1056600
2020-03-03,1.450000,1.500000,1.350000,1.480000,1.480000,945900
2020-03-04,1.500000,1.700000,1.470000,1.650000,1.650000,1522900
2020-03-05,1.600000,1.650000,1.440000,1.450000,1.450000,673400
2020-03-06,1.450000,1.475000,1.330000,1.330000,1.330000,495000
2020-03-09,1.250000,1.440000,1.090000,1.220000,1.220000,1910500
2020-03-10,1.250000,1.280000,1.050000,1.060000,1.060000,867800
2020-03-11,1.140000,1.140000,0.910000,0.911000,0.911000,831900
2020-03-12,0.841000,1.050000,0.680000,0.810000,0.810000,1052200
2020-03-13,0.830000,0.903000,0.670000,0.744000,0.744000,794500
2020-03-16,0.630000,0.730000,0.630000,0.680000,0.680000,566800
2020-03-17,0.750000,0.750000,0.670000,0.670000,0.670000,320400
2020-03-18,0.675000,0.700000,0.570000,0.610000,0.610000,545700
2020-03-19,0.630000,0.700000,0.610000,0.699000,0.699000,513800
2020-03-20,0.720000,0.945000,0.700000,0.790000,0.790000,914200
2020-03-23,0.830000,0.927000,0.630000,0.750000,0.750000,553600
2020-03-24,0.843000,0.860000,0.750000,0.794000,0.794000,470600
2020-03-25,0.811000,0.860000,0.760000,0.820000,0.820000,596200
2020-03-26,0.860000,1.050000,0.830000,1.050000,1.050000,1281200
2020-03-27,0.990000,1.160000,0.870000,1.040000,1.040000,1098500
2020-03-30,0.990000,1.040000,0.950000,0.950000,0.950000,421900
2020-03-31,0.570000,0.750000,0.510000,0.640000,0.640000,3050900
2020-04-01,0.610000,0.640000,0.550000,0.570000,0.570000,1010900
2020-04-02,0.570000,0.590000,0.480000,0.494000,0.494000,1496500
2020-04-03,0.520000,0.540000,0.466000,0.471000,0.471000,859800
2020-04-06,0.505000,0.540000,0.481000,0.529000,0.529000,1286700
2020-04-07,0.545000,0.550000,0.490000,0.518000,0.518000,1054400
2020-04-08,0.534000,0.580000,0.500000,0.560000,0.560000,784700
2020-04-09,0.572000,0.620000,0.560000,0.620000,0.620000,1406900
2020-04-13,0.610000,0.620000,0.550000,0.590000,0.590000,507200
2020-04-14,0.600000,0.600000,0.550000,0.589000,0.589000,333300
2020-04-15,0.600000,0.600000,0.470000,0.580000,0.580000,854200
2020-04-16,0.590000,0.590000,0.520000,0.531000,0.531000,204900
2020-04-17,0.550000,0.570000,0.535000,0.560000,0.560000,311600
2020-04-20,0.550000,0.600000,0.530000,0.580000,0.580000,720300
2020-04-21,0.540000,0.590000,0.510000,0.540000,0.540000,720200
2020-04-22,0.515000,0.550000,0.515000,0.520000,0.520000,364300
2020-04-23,0.540000,0.540000,0.510000,0.527000,0.527000,246300
2020-04-24,0.540000,0.540000,0.495000,0.500000,0.500000,625100
2020-04-27,0.528000,0.540000,0.470000,0.493000,0.493000,1437400
2020-04-28,0.502000,0.525000,0.480000,0.495000,0.495000,520000
2020-04-29,0.496000,0.500000,0.490000,0.499000,0.499000,704600
2020-04-30,0.505000,0.590000,0.451000,0.570000,0.570000,1914500
2020-05-01,0.599000,0.670000,0.550000,0.635000,0.635000,1284300
2020-05-04,0.650000,0.650000,0.524000,0.578000,0.578000,1009900
2020-05-05,0.560000,0.600000,0.531000,0.550000,0.550000,461500
2020-05-06,0.560000,0.590000,0.520000,0.560000,0.560000,439700
2020-05-07,0.577000,0.580000,0.500000,0.515000,0.515000,738200
2020-05-08,0.525000,0.548000,0.500000,0.509000,0.509000,555400
2020-05-11,0.530000,0.530000,0.495000,0.502000,0.502000,638100
2020-05-12,0.527000,0.529000,0.480000,0.493000,0.493000,1072700
2020-05-13,0.500000,0.500000,0.390000,0.390000,0.390000,2794200
2020-05-14,0.401000,0.410000,0.370000,0.387000,0.387000,1407600
2020-05-15,0.460000,0.699000,0.452000,0.550000,0.550000,11981500
2020-05-18,0.610000,0.690000,0.582000,0.610000,0.610000,4746900
2020-05-19,0.615000,0.615000,0.550000,0.579000,0.579000,1737100
2020-05-20,0.578000,0.590000,0.530000,0.554000,0.554000,948200
2020-05-21,0.578000,0.620000,0.537000,0.605000,0.605000,2320200
2020-05-22,0.654000,1.280000,0.650000,0.845000,0.845000,50212600
2020-05-26,0.920000,0.984000,0.830000,0.915000,0.915000,7339800
2020-05-27,0.904000,0.930000,0.811000,0.860000,0.860000,3447700
2020-05-28,0.880000,0.960000,0.831000,0.880000,0.880000,3996300
2020-05-29,0.860000,0.900000,0.850000,0.851000,0.851000,1417900
2020-06-01,0.844000,0.885000,0.750000,0.857000,0.857000,1530200
2020-06-02,0.851000,0.870000,0.810000,0.830000,0.830000,995900
2020-06-03,0.840000,0.850000,0.810000,0.820000,0.820000,960500
2020-06-04,0.800000,0.825000,0.770000,0.812000,0.812000,1318400
2020-06-05,0.800000,0.850000,0.755000,0.820000,0.820000,2226500
2020-06-08,0.893000,1.100000,0.850000,1.090000,1.090000,7401100
2020-06-09,1.120000,1.250000,1.060000,1.100000,1.100000,5321200
2020-06-10,1.120000,1.140000,0.990000,1.100000,1.100000,2174500
2020-06-11,0.920000,1.020000,0.880000,0.910000,0.910000,2188300
2020-06-12,0.970000,1.050000,0.924000,0.970000,0.970000,1283200
2020-06-15,0.945000,1.020000,0.945000,0.995000,0.995000,1017300
2020-06-16,1.040000,1.060000,0.970000,1.010000,1.010000,967300
2020-06-17,1.000000,1.020000,0.913000,0.924000,0.924000,1049400
2020-06-18,0.930000,0.985000,0.898000,0.910000,0.910000,1681800
2020-06-19,0.931000,0.950000,0.850000,0.870000,0.870000,1026400
2020-06-22,0.870000,0.879000,0.807000,0.852000,0.852000,674400
2020-06-23,0.860000,0.930000,0.850000,0.910000,0.910000,1109600
2020-06-24,0.900000,0.900000,0.821000,0.850000,0.850000,679500
2020-06-25,0.838000,0.850000,0.800000,0.849000,0.849000,511200
2020-06-26,0.853000,0.853000,0.800000,0.803000,0.803000,534800
2020-06-29,0.820000,0.828000,0.750000,0.816000,0.816000,600500
2020-06-30,0.830000,0.830000,0.750000,0.799000,0.799000,634400
2020-07-01,0.800000,0.827000,0.771000,0.804000,0.804000,464400
2020-07-02,0.830000,0.830000,0.753000,0.784000,0.784000,558700
2020-07-06,0.809000,0.815000,0.770000,0.810000,0.810000,508500
2020-07-07,0.800000,0.800000,0.750000,0.770000,0.770000,413100
2020-07-08,0.790000,0.790000,0.750000,0.780000,0.780000,294200
2020-07-09,0.829000,0.830000,0.770000,0.792000,0.792000,553500
2020-07-10,0.799000,0.820000,0.761000,0.811000,0.811000,498300
2020-07-13,0.810000,0.899000,0.780000,0.840000,0.840000,1525700
2020-07-14,0.843000,0.850000,0.800000,0.842000,0.842000,425600
2020-07-15,0.860000,0.920000,0.850000,0.880000,0.880000,1044500
2020-07-16,0.900000,0.940000,0.880000,0.909000,0.909000,778000
2020-07-17,0.890000,0.895000,0.820000,0.849000,0.849000,939400
2020-07-20,0.870000,0.870000,0.824000,0.835000,0.835000,677400
2020-07-21,0.850000,0.850000,0.792000,0.811000,0.811000,696400
2020-07-22,0.808000,0.808000,0.703000,0.730000,0.730000,1801900
2020-07-23,0.770000,0.770000,0.681000,0.699000,0.699000,1459300
2020-07-24,0.690000,0.699000,0.650000,0.691000,0.691000,1317200
2020-07-27,0.700000,0.700000,0.580000,0.597000,0.597000,2640300
2020-07-28,0.645000,0.660000,0.590000,0.630000,0.630000,2072600
2020-07-29,0.619000,0.650000,0.560000,0.605000,0.605000,1305600
2020-07-30,0.590000,0.598000,0.568000,0.574000,0.574000,981200
2020-07-31,0.600000,0.600000,0.575000,0.584000,0.584000,979600
2020-08-03,0.623000,0.624000,0.550000,0.590000,0.590000,1154000
2020-08-04,0.590000,0.620000,0.560000,0.599000,0.599000,2307900
2020-08-05,0.580000,0.585000,0.560000,0.575000,0.575000,1222000
2020-08-06,0.580000,0.589000,0.552000,0.570000,0.570000,1319900
2020-08-07,0.578000,0.580000,0.530000,0.550000,0.550000,2053600
2020-08-10,0.555000,0.560000,0.521000,0.542000,0.542000,2209700
2020-08-11,0.550000,0.560000,0.525000,0.546000,0.546000,1384700
2020-08-12,0.555000,0.730000,0.520000,0.550000,0.550000,32487100
2020-08-13,0.625000,0.778000,0.588000,0.700000,0.700000,61305600
2020-08-14,0.550000,0.558000,0.434000,0.450000,0.450000,55624200
2020-08-17,0.484000,0.490000,0.450000,0.460000,0.460000,24895700
2020-08-18,0.470000,0.470000,0.411000,0.428000,0.428000,21044600
2020-08-19,0.420000,0.428000,0.372000,0.408000,0.408000,15613800
2020-08-20,0.399000,0.418000,0.371000,0.380000,0.380000,14632300
2020-08-21,0.379000,0.408000,0.370000,0.389000,0.389000,14177400
