Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,2.810000,2.880000,2.700000,2.720000,2.720000,4071700
2020-02-18,2.670000,2.800000,2.590000,2.640000,2.640000,3418700
2020-02-19,2.650000,2.740000,2.610000,2.610000,2.610000,3142300
2020-02-20,2.600000,2.700000,2.570000,2.650000,2.650000,2003300
2020-02-21,2.690000,2.690000,2.510000,2.540000,2.540000,3828000
2020-02-24,2.570000,2.580000,2.320000,2.390000,2.390000,5222800
2020-02-25,2.410000,2.480000,2.240000,2.250000,2.250000,4812900
2020-02-26,2.260000,2.450000,2.160000,2.240000,2.240000,8409700
2020-02-27,2.350000,2.370000,2.060000,2.180000,2.180000,7943200
2020-02-28,2.210000,2.300000,2.000000,2.170000,2.170000,7740900
2020-03-02,2.160000,2.250000,2.080000,2.210000,2.210000,4483900
2020-03-03,2.230000,2.250000,2.060000,2.100000,2.100000,8895100
2020-03-04,2.160000,2.230000,2.100000,2.140000,2.140000,8715200
2020-03-05,2.120000,2.430000,2.070000,2.320000,2.320000,15525900
2020-03-06,2.480000,2.480000,2.130000,2.210000,2.210000,12477800
2020-03-09,2.050000,2.180000,1.950000,2.140000,2.140000,8820500
2020-03-10,2.200000,2.230000,2.020000,2.050000,2.050000,4910200
2020-03-11,2.050000,2.070000,1.780000,1.850000,1.850000,6590400
2020-03-12,1.680000,1.950000,1.650000,1.850000,1.850000,5918500
2020-03-13,2.000000,2.010000,1.680000,1.720000,1.720000,6673100
2020-03-16,1.690000,1.980000,1.590000,1.670000,1.670000,6716700
2020-03-17,1.680000,1.900000,1.640000,1.770000,1.770000,5885400
2020-03-18,1.720000,1.770000,1.550000,1.570000,1.570000,5670600
2020-03-19,1.600000,1.800000,1.560000,1.790000,1.790000,4129400
2020-03-20,2.190000,2.320000,1.930000,2.050000,2.050000,19196800
2020-03-23,2.010000,2.170000,1.830000,2.050000,2.050000,6521200
2020-03-24,2.100000,2.200000,2.050000,2.070000,2.070000,6101100
2020-03-25,2.050000,2.140000,1.890000,1.990000,1.990000,8775300
2020-03-26,2.010000,2.060000,1.820000,1.870000,1.870000,8471000
2020-03-27,1.870000,1.890000,1.750000,1.810000,1.810000,5611500
2020-03-30,1.930000,1.940000,1.790000,1.850000,1.850000,5229200
2020-03-31,1.900000,2.010000,1.800000,1.840000,1.840000,11739300
2020-04-01,1.810000,1.840000,1.700000,1.730000,1.730000,6486100
2020-04-02,1.760000,2.210000,1.700000,2.020000,2.020000,15117300
2020-04-03,1.970000,2.680000,1.970000,2.480000,2.480000,27878400
2020-04-06,2.490000,2.690000,2.270000,2.610000,2.610000,12554300
2020-04-07,2.610000,2.740000,2.440000,2.520000,2.520000,5745400
2020-04-08,2.520000,2.610000,2.420000,2.450000,2.450000,3672000
2020-04-09,2.500000,2.550000,2.430000,2.530000,2.530000,3273500
2020-04-13,2.550000,2.680000,2.490000,2.650000,2.650000,4282700
2020-04-14,2.700000,2.970000,2.670000,2.800000,2.800000,10089500
2020-04-15,2.760000,2.790000,2.540000,2.570000,2.570000,4913700
2020-04-16,2.580000,2.750000,2.520000,2.750000,2.750000,3330900
2020-04-17,2.750000,2.790000,2.480000,2.510000,2.510000,4800400
2020-04-20,2.440000,2.600000,2.350000,2.380000,2.380000,5086700
2020-04-21,2.350000,2.400000,2.210000,2.280000,2.280000,5013000
2020-04-22,2.300000,2.390000,2.250000,2.340000,2.340000,3179800
2020-04-23,2.330000,2.390000,2.270000,2.280000,2.280000,3143800
2020-04-24,2.350000,2.670000,2.320000,2.570000,2.570000,11309200
2020-04-27,2.620000,2.660000,2.440000,2.560000,2.560000,4249400
2020-04-28,2.490000,2.530000,2.340000,2.370000,2.370000,5009700
2020-04-29,2.400000,2.500000,2.370000,2.480000,2.480000,2928400
2020-04-30,2.470000,2.510000,2.250000,2.270000,2.270000,4838400
2020-05-01,2.250000,2.350000,2.180000,2.310000,2.310000,2973700
2020-05-04,2.280000,2.400000,2.230000,2.380000,2.380000,2384600
2020-05-05,2.410000,2.530000,2.400000,2.420000,2.420000,3305600
2020-05-06,2.450000,2.550000,2.420000,2.470000,2.470000,5697400
2020-05-07,2.500000,2.530000,2.350000,2.410000,2.410000,2543600
2020-05-08,2.630000,2.680000,2.520000,2.600000,2.600000,7937600
2020-05-11,2.710000,2.920000,2.570000,2.800000,2.800000,7326000
2020-05-12,2.870000,3.250000,2.800000,2.840000,2.840000,10113000
2020-05-13,2.930000,3.050000,2.640000,2.770000,2.770000,9803400
2020-05-14,2.700000,2.770000,2.560000,2.620000,2.620000,4836900
2020-05-15,4.410000,9.000000,3.830000,6.760000,6.760000,507617300
2020-05-18,9.980000,10.000000,6.080000,6.500000,6.500000,303549800
2020-05-19,6.730000,6.820000,4.890000,5.420000,5.420000,113493100
2020-05-20,5.030000,5.800000,4.550000,5.700000,5.700000,97646400
2020-05-21,5.500000,5.510000,5.000000,5.030000,5.030000,33627800
2020-05-22,5.080000,5.350000,4.670000,5.070000,5.070000,48302800
2020-05-26,5.910000,5.990000,5.150000,5.270000,5.270000,59108000
2020-05-27,5.280000,5.430000,4.950000,5.170000,5.170000,27756800
2020-05-28,5.060000,5.160000,4.700000,4.950000,4.950000,21008100
2020-05-29,4.870000,5.090000,4.810000,5.050000,5.050000,15065400
2020-06-01,4.960000,5.120000,4.890000,5.000000,5.000000,12631100
2020-06-02,4.910000,4.970000,4.700000,4.770000,4.770000,16253900
2020-06-03,4.600000,4.650000,3.840000,4.140000,4.140000,36140900
2020-06-04,3.930000,4.070000,3.820000,3.860000,3.860000,17008600
2020-06-05,4.200000,4.560000,4.000000,4.120000,4.120000,33729200
2020-06-08,4.180000,4.980000,4.180000,4.720000,4.720000,57999200
2020-06-09,4.920000,5.400000,4.660000,4.770000,4.770000,49436600
2020-06-10,4.630000,4.790000,4.450000,4.540000,4.540000,18506700
2020-06-11,4.980000,5.060000,4.580000,4.650000,4.650000,32917500
2020-06-12,4.760000,4.860000,4.310000,4.620000,4.620000,20197200
2020-06-15,4.680000,4.920000,4.640000,4.890000,4.890000,18128600
2020-06-16,4.950000,4.990000,4.740000,4.900000,4.900000,15109400
2020-06-17,4.810000,4.890000,4.640000,4.730000,4.730000,9106500
2020-06-18,4.700000,4.900000,4.690000,4.800000,4.800000,9324100
2020-06-19,4.820000,5.040000,4.760000,4.800000,4.800000,27903900
2020-06-22,4.850000,4.950000,4.760000,4.900000,4.900000,11771700
2020-06-23,4.860000,5.160000,4.850000,5.120000,5.120000,16539000
2020-06-24,5.050000,5.610000,5.030000,5.560000,5.560000,35906500
2020-06-25,6.400000,7.220000,6.000000,6.350000,6.350000,71494400
2020-06-26,6.330000,6.480000,5.630000,5.870000,5.870000,34253100
2020-06-29,5.970000,6.230000,5.790000,6.110000,6.110000,14384600
2020-06-30,6.040000,6.300000,5.870000,6.280000,6.280000,16634600
2020-07-01,6.210000,7.000000,6.020000,6.930000,6.930000,49418200
2020-07-02,7.040000,7.070000,6.430000,6.850000,6.850000,24141300
2020-07-06,6.720000,7.210000,6.720000,7.170000,7.170000,20555900
2020-07-07,7.070000,7.530000,6.960000,7.380000,7.380000,19847100
2020-07-08,7.490000,7.500000,6.970000,7.290000,7.290000,16885300
2020-07-09,7.330000,7.760000,7.190000,7.750000,7.750000,21200900
2020-07-10,7.890000,8.510000,7.830000,8.060000,8.060000,30678100
2020-07-13,8.170000,8.340000,7.720000,7.720000,7.720000,22166400
2020-07-14,7.740000,8.070000,7.210000,7.940000,7.940000,19974400
2020-07-15,7.900000,7.930000,6.280000,6.580000,6.580000,38976100
2020-07-16,6.170000,6.980000,6.120000,6.680000,6.680000,17727100
2020-07-17,6.730000,7.140000,6.620000,6.970000,6.970000,14987100
2020-07-20,8.190000,8.570000,7.780000,8.360000,8.360000,69544600
2020-07-21,8.500000,8.530000,7.820000,8.370000,8.370000,32635200
2020-07-22,8.080000,8.240000,7.890000,8.060000,8.060000,15712500
2020-07-23,8.040000,8.290000,7.520000,7.800000,7.800000,20048000
2020-07-24,8.060000,8.090000,7.280000,7.290000,7.290000,18726800
2020-07-27,7.390000,7.800000,7.380000,7.790000,7.790000,11976400
2020-07-28,7.680000,7.880000,7.420000,7.510000,7.510000,9701900
2020-07-29,7.960000,8.000000,7.620000,7.750000,7.750000,15562400
2020-07-30,7.700000,8.560000,7.670000,8.550000,8.550000,27637200
2020-07-31,9.720000,10.540000,8.610000,8.920000,8.920000,88178100
2020-08-03,9.310000,9.860000,9.130000,9.770000,9.770000,29588700
2020-08-04,10.530000,13.250000,10.290000,12.840000,12.840000,172111000
2020-08-05,14.310000,14.550000,12.300000,13.790000,13.790000,148261400
