Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,2.490000,2.610000,2.470000,2.610000,2.610000,289800
2020-02-18,2.520000,2.600000,2.390000,2.400000,2.400000,519500
2020-02-19,2.410000,2.460000,2.300000,2.340000,2.340000,347800
2020-02-20,2.350000,2.500000,2.340000,2.420000,2.420000,241000
2020-02-21,2.450000,2.490000,2.320000,2.320000,2.320000,166500
2020-02-24,2.300000,2.300000,2.080000,2.130000,2.130000,668500
2020-02-25,2.150000,2.248000,2.080000,2.100000,2.100000,318500
2020-02-26,2.110000,2.140000,1.920000,1.920000,1.920000,428600
2020-02-27,1.830000,1.990000,1.700000,1.880000,1.880000,278100
2020-02-28,1.770000,1.870000,1.740000,1.820000,1.820000,224400
2020-03-02,1.870000,1.885000,1.770000,1.820000,1.820000,149700
2020-03-03,1.880000,2.000000,1.710000,1.810000,1.810000,296900
2020-03-04,1.900000,1.900000,1.750000,1.800000,1.800000,251100
2020-03-05,1.820000,1.840000,1.686000,1.750000,1.750000,363000
2020-03-06,1.720000,1.800000,1.560000,1.740000,1.740000,423000
2020-03-09,1.570000,1.630000,1.350000,1.440000,1.440000,715400
2020-03-10,1.660000,1.790000,1.490000,1.520000,1.520000,456500
2020-03-11,1.560000,1.680000,1.440000,1.560000,1.560000,493700
2020-03-12,1.460000,1.470000,1.330000,1.450000,1.450000,2504800
2020-03-13,1.450000,1.600000,1.450000,1.590000,1.590000,466800
2020-03-16,1.570000,1.570000,1.340000,1.541000,1.541000,469500
2020-03-17,1.530000,1.620000,1.410000,1.590000,1.590000,296400
2020-03-18,1.510000,1.600000,1.355000,1.580000,1.580000,533600
2020-03-19,1.580000,1.580000,1.450000,1.500000,1.500000,258100
2020-03-20,1.530000,1.700000,1.410000,1.550000,1.550000,371200
2020-03-23,1.540000,1.540000,1.351000,1.480000,1.480000,234100
2020-03-24,1.590000,1.610000,1.500000,1.600000,1.600000,362200
2020-03-25,1.600000,1.790000,1.560000,1.650000,1.650000,509200
2020-03-26,1.690000,1.730000,1.580000,1.620000,1.620000,422500
2020-03-27,1.660000,1.660000,1.400000,1.510000,1.510000,338500
2020-03-30,1.510000,1.527000,1.410000,1.420000,1.420000,275700
2020-03-31,1.440000,1.500000,1.370000,1.460000,1.460000,265500
2020-04-01,1.400000,1.460000,1.350000,1.400000,1.400000,243700
2020-04-02,1.460000,1.520000,1.360000,1.400000,1.400000,213400
2020-04-03,1.400000,1.400000,1.300000,1.390000,1.390000,241100
2020-04-06,1.380000,1.460000,1.350000,1.430000,1.430000,261400
