Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,3.530000,3.630000,3.280000,3.320000,3.320000,1506600
2020-02-18,3.310000,3.420000,3.310000,3.360000,3.360000,1136600
2020-02-19,3.360000,3.540000,3.350000,3.490000,3.490000,1466700
2020-02-20,3.510000,3.790000,3.370000,3.740000,3.740000,2925100
2020-02-21,3.840000,3.940000,3.560000,3.670000,3.670000,2466600
2020-02-24,3.510000,3.630000,3.310000,3.500000,3.500000,1546300
2020-02-25,3.570000,3.700000,3.530000,3.550000,3.550000,1602300
2020-02-26,3.610000,3.700000,3.500000,3.570000,3.570000,1448300
2020-02-27,3.500000,3.520000,3.020000,3.120000,3.120000,2675100
2020-02-28,2.960000,3.080000,2.850000,3.010000,3.010000,1853500
2020-03-02,3.090000,3.116000,2.690000,2.850000,2.850000,2019500
2020-03-03,3.040000,3.090000,2.880000,2.890000,2.890000,1551100
2020-03-04,2.990000,3.150000,2.820000,3.090000,3.090000,1479600
2020-03-05,3.080000,3.080000,2.920000,2.920000,2.920000,1365500
2020-03-06,2.800000,2.900000,2.750000,2.800000,2.800000,1593700
2020-03-09,2.590000,2.700000,2.490000,2.500000,2.500000,1326700
2020-03-10,2.760000,2.760000,2.470000,2.640000,2.640000,1352000
2020-03-11,2.600000,2.649000,2.200000,2.210000,2.210000,1745400
2020-03-12,1.690000,2.010000,1.350000,1.950000,1.950000,2729800
2020-03-13,2.060000,2.170000,1.600000,1.670000,1.670000,1694100
2020-03-16,1.630000,1.630000,1.370000,1.470000,1.470000,1843700
2020-03-17,1.440000,1.640000,1.315000,1.590000,1.590000,1674700
2020-03-18,1.500000,1.570000,1.410000,1.570000,1.570000,727300
2020-03-19,1.500000,1.680000,1.450000,1.540000,1.540000,1132300
2020-03-20,1.600000,1.670000,1.540000,1.590000,1.590000,888700
2020-03-23,1.560000,1.620000,1.500000,1.570000,1.570000,766600
2020-03-24,1.630000,1.890000,1.582000,1.750000,1.750000,1288500
2020-03-25,1.870000,2.340000,1.820000,2.050000,2.050000,2547200
2020-03-26,2.100000,2.170000,1.850000,1.940000,1.940000,1608100
2020-03-27,1.930000,2.270000,1.660000,2.000000,2.000000,2830300
2020-03-30,1.900000,1.950000,1.600000,1.740000,1.740000,3302600
2020-03-31,1.750000,1.820000,1.700000,1.810000,1.810000,869700
2020-04-01,1.700000,1.800000,1.620000,1.710000,1.710000,877500
2020-04-02,1.720000,1.780000,1.650000,1.660000,1.660000,590500
2020-04-03,1.670000,1.698000,1.570000,1.660000,1.660000,887700
2020-04-06,1.690000,1.790000,1.630000,1.630000,1.630000,1207100
2020-04-07,1.720000,1.850000,1.630000,1.670000,1.670000,2285900
2020-04-08,1.710000,1.850000,1.650000,1.760000,1.760000,1330700
2020-04-09,1.790000,1.980000,1.775000,1.920000,1.920000,1734400
2020-04-13,1.960000,2.090000,1.880000,2.070000,2.070000,860800
2020-04-14,2.120000,2.225000,2.060000,2.120000,2.120000,1202900
2020-04-15,2.050000,2.140000,1.940000,2.050000,2.050000,903200
2020-04-16,2.080000,2.120000,1.970000,2.020000,2.020000,685200
2020-04-17,2.120000,2.280000,2.080000,2.260000,2.260000,1264200
2020-04-20,2.290000,2.380000,2.170000,2.260000,2.260000,1164400
2020-04-21,2.270000,2.580000,2.200000,2.450000,2.450000,3462000
2020-04-22,2.570000,2.580000,2.360000,2.440000,2.440000,1176400
2020-04-23,2.420000,2.530000,2.325000,2.370000,2.370000,946100
2020-04-24,2.390000,2.520000,2.290000,2.440000,2.440000,1029300
2020-04-27,2.480000,2.550000,2.350000,2.440000,2.440000,1263900
2020-04-28,2.500000,2.983000,2.420000,2.880000,2.880000,3219000
2020-04-29,3.190000,3.200000,2.920000,2.980000,2.980000,2293000
2020-04-30,2.900000,3.000000,2.700000,2.930000,2.930000,1227100
2020-05-01,2.870000,3.190000,2.620000,3.150000,3.150000,3129300
2020-05-04,3.130000,3.370000,3.020000,3.210000,3.210000,1833300
2020-05-05,3.320000,3.427000,3.120000,3.190000,3.190000,2179500
2020-05-06,3.190000,3.383000,2.850000,2.950000,2.950000,7304500
2020-05-07,3.050000,3.070000,2.890000,2.910000,2.910000,1567600
2020-05-08,3.010000,3.060000,2.935000,2.990000,2.990000,1410700
2020-05-11,2.990000,3.000000,2.800000,2.920000,2.920000,1382600
2020-05-12,3.000000,3.020000,2.790000,2.800000,2.800000,2160700
2020-05-13,2.810000,2.840000,2.450000,2.540000,2.540000,2358000
2020-05-14,2.500000,2.590000,2.270000,2.510000,2.510000,1519200
2020-05-15,2.460000,2.570000,2.425000,2.510000,2.510000,940600
2020-05-18,2.620000,2.690000,2.510000,2.590000,2.590000,1591700
2020-05-19,2.590000,2.740000,2.500000,2.590000,2.590000,1573300
2020-05-20,2.670000,2.770000,2.560000,2.650000,2.650000,2056900
2020-05-21,2.650000,2.700000,2.550000,2.660000,2.660000,1092600
2020-05-22,2.640000,2.680000,2.550000,2.650000,2.650000,879300
2020-05-26,2.720000,2.830000,2.650000,2.680000,2.680000,1484000
2020-05-27,2.740000,2.740000,2.560000,2.670000,2.670000,1367000
2020-05-28,2.700000,2.700000,2.555000,2.560000,2.560000,1593800
2020-05-29,2.640000,2.730000,2.440000,2.480000,2.480000,2956200
2020-06-01,2.480000,2.650000,2.450000,2.630000,2.630000,1312400
2020-06-02,2.640000,2.750000,2.560000,2.730000,2.730000,1514800
2020-06-03,2.730000,3.000000,2.730000,2.950000,2.950000,3681700
2020-06-04,3.000000,3.360000,2.960000,3.240000,3.240000,4420000
2020-06-05,3.310000,3.455000,3.100000,3.190000,3.190000,3932600
2020-06-08,3.190000,3.240000,2.960000,3.150000,3.150000,2469200
2020-06-09,3.190000,3.880000,3.150000,3.740000,3.740000,7621400
2020-06-10,3.920000,4.360000,3.530000,4.050000,4.050000,9152800
2020-06-11,3.750000,3.950000,3.400000,3.420000,3.420000,4121800
2020-06-12,3.770000,3.850000,3.524000,3.780000,3.780000,2678600
2020-06-15,3.650000,4.490000,3.600000,4.240000,4.240000,5109600
2020-06-16,4.470000,4.550000,4.080000,4.400000,4.400000,3253600
2020-06-17,4.350000,4.460000,4.090000,4.135000,4.135000,2217800
2020-06-18,4.140000,4.770000,4.140000,4.540000,4.540000,11204200
2020-06-19,5.250000,5.380000,4.770000,4.880000,4.880000,13674800
2020-06-22,5.095000,6.100000,5.000000,5.920000,5.920000,19458200
2020-06-23,6.700000,7.480000,6.575000,6.950000,6.950000,26379400
2020-06-24,7.210000,10.000000,7.100000,8.510000,8.510000,92541700
2020-06-25,9.400000,10.250000,7.520000,8.560000,8.560000,81908900
2020-06-26,9.100000,10.300000,8.660000,9.900000,9.900000,49997800
2020-06-29,12.200000,15.410000,11.000000,14.510000,14.510000,128988900
2020-06-30,17.020000,20.000000,16.000000,17.389999,17.389999,165502100
2020-07-01,15.980000,20.389999,13.650000,19.180000,19.180000,125895700
2020-07-02,20.370001,22.900000,19.750000,20.910000,20.910000,120960800
2020-07-06,21.180000,21.469999,17.320000,17.610001,17.610001,63612900
2020-07-07,15.770000,16.950001,14.110000,16.850000,16.850000,57404600
2020-07-08,16.299999,18.100000,16.020000,16.660000,16.660000,31920600
2020-07-09,17.000000,17.230000,15.590000,16.059999,16.059999,21460100
2020-07-10,15.300000,16.400000,14.200000,15.180000,15.180000,30692800
2020-07-13,17.395000,17.680000,15.300000,15.440000,15.440000,39069700
2020-07-14,16.400000,16.650000,15.020000,16.500000,16.500000,20897500
2020-07-15,16.330000,16.610001,15.600000,16.340000,16.340000,12947900
2020-07-16,15.770000,16.219999,15.350000,15.830000,15.830000,10218400
2020-07-17,15.650000,15.870000,14.530000,14.930000,14.930000,13502500
2020-07-20,14.500000,17.200001,13.360000,16.320000,16.320000,30269500
2020-07-21,16.889999,17.100000,16.020000,16.090000,16.090000,11766100
2020-07-22,15.990000,17.200001,15.790000,16.410000,16.410000,10116600
2020-07-23,16.420000,16.950001,15.070000,15.600000,15.600000,13753600
2020-07-24,15.050000,15.500000,14.300000,15.145000,15.145000,10031700
2020-07-27,15.260000,15.950000,14.850000,15.730000,15.730000,8577600
2020-07-28,15.542000,16.540001,15.030000,16.100000,16.100000,13403300
2020-07-29,15.880000,16.430000,15.320000,16.150000,16.150000,12391200
2020-07-30,15.730000,17.500000,15.690000,16.420000,16.420000,18741600
2020-07-31,16.552000,16.790001,15.380000,15.520000,15.520000,10567700
2020-08-03,16.104000,19.440001,16.049999,19.180000,19.180000,39707900
